word1	word2	SimLex999
dumb	intelligent	0.75
dumb	rare	0.48
dumb	smart	0.55
dumb	stupid	9.58
dusk	evening	7.78
earn	make	7.62
easy	flexible	4.1
easy	hard	0.95
easy	simple	9.4
easy	tough	0.52
elastic	flexible	7.78
elegance	style	5.72
emotion	mood	8.12
emotion	passion	7.72
employee	employer	3.65
employer	worker	5.37
endurance	flower	0.4
endurance	strength	6.58
engage	marry	5.43
engine	machine	5.58
engine	motor	8.65
enjoy	entertain	5.92
enter	go	4
enter	leave	0.95
enter	owe	0.68
entertain	please	5
equation	formula	7.95
essential	necessary	8.97
evaluate	learn	4.17
evening	sunset	5.98
examine	inspect	8.75
examine	investigate	8.1
exotic	rare	8.05
expand	grow	8.27
explain	prove	4.1
explore	ignore	0.4
eye	tear	3.55
fabric	linen	7.47
fact	insight	4.77
fact	proof	7.3
fail	lose	7.33
fail	succeed	0.83
fame	wealth	4.02
fantasy	reality	1.03
fashion	style	8.5
fast	rapid	8.75
father	god	3.57
father	man	4.83
father	parent	7.07
father	son	3.82
fee	payment	7.15
fee	salary	3.72
fence	rail	5.22
fever	flu	6.08
fever	illness	7.65
film	movie	8.87
find	locate	8.73
finger	palm	3.33
finger	toe	4.68
flexible	large	0.48
flexible	modest	0.98
floor	roof	2.62
flower	violet	6.95
foot	hand	4.17
foot	head	2.3
football	fun	1.97
forget	forgive	3.92
forget	ignore	3.07
forget	know	0.92
forget	learn	1.18
forget	remind	0.87
forget	retain	0.63
forgive	understand	4.87
formal	proper	8.02
formula	log	1.77
fox	hound	2.38
fragile	frigid	2.38
fraternity	men	3.13
fresh	new	6.83
fresh	old	0.87
fresh	wide	0.4
friend	guest	4.25
friend	guy	3.88
friend	mother	2.53
friend	teacher	2.62
friendly	generous	5.9
frigid	rough	2.47
fun	game	3.42
funny	sad	0.95
fur	gun	0.3
fur	mink	6.83
fur	woman	0.58
game	trick	2.32
garden	hose	1.67
gather	meet	7.3
generous	nice	5
gentleman	lady	3.42
get	lose	0.77
get	put	1.98
get	remain	1.6
gin	whiskey	6.28
girl	guy	3.33
girl	maid	2.93
give	keep	1.05
give	know	0.88
give	lend	7.22
give	put	3.65
give	receive	1.47
give	steal	0.5
glad	happy	9.17
glad	mad	1.45
globe	world	6.67
go	leave	7.63
go	sell	0.97
go	send	3.75
goal	quest	5.83
goal	winner	3.23
god	prey	1.23
god	priest	4.5
god	spirit	7.3
gossip	news	5.22
grade	school	4.42
grass	moss	5
grass	root	3.55
great	wonderful	8.05
greet	meet	6.17
grow	shrink	0.23
guardian	mother	6.5
guilty	honest	1.18
gun	knife	3.65
gun	people	0.68
gun	trick	0.48
gut	nerve	4.93
guy	partner	3.57
guy	stud	5.83
hand	nail	3.42
hand	thumb	3.88
hand	wrist	3.97
hang	kill	4.45
hang	put	3
happen	occur	9.32
happiness	luck	2.38
happiness	peace	6.03
happy	mad	0.95
happy	young	2
hard	simple	1.38
hard	tough	8.05
harm	pain	5.38
head	nail	2.47
head	shoulder	3.42
hear	listen	8.17
hear	speak	3.02
heart	surgery	1.08
heavy	laden	5.9
helper	maid	5.58
helper	teacher	4.28
hen	turkey	6.13
herb	marijuana	6.5
hero	heroine	8.78
highway	task	0.48
hip	lip	1.43
hole	wife	0.68
home	state	2.58
honey	sugar	5.13
horse	mare	8.33
horse	ox	3.02
house	key	1.9
huge	large	9.47
huge	tiny	0.6
hurricane	storm	6.38
husband	man	5.32
husband	wife	2.3
hut	shelter	6.47
hymn	straw	0.4
ice	water	6.47
idea	image	3.55
idea	opinion	5.7
idea	scheme	6.75
ignorance	intelligence	1.5
ignore	leave	4.42
illegal	immoral	4.28
illness	infection	6.9
illusion	reality	1.42
image	reflection	7.27
imagine	pretend	8.47
imitate	portray	6.75
important	necessary	7.37
inch	meter	5.08
inch	yard	3.78
income	tax	2.38
inform	notify	9.25
information	newspaper	5.65
inn	motel	8.17
inquire	require	1.82
inquire	think	4.77
insight	intelligence	5.9
instructor	teacher	9.25
instrument	violin	6.58
intelligence	logic	6.5
intelligence	skill	5.35
intelligence	wisdom	7.47
intelligent	smart	9.2
intuition	sense	7.68
investigate	pursue	7.15
iron	vitamin	5.55
island	princess	0.3
island	task	0.3
jacket	sweater	7.15
jet	plane	8.1
job	management	3.97
job	task	8.87
join	marry	5.35
join	participate	7.7
journey	trip	8.88
joy	pride	5
juice	milk	4.05
justice	right	7.05
justify	verify	4.08
keep	lose	1.05
keep	possess	8.27
keep	protect	5.4
kidney	organ	6.17
king	prince	5.92
king	princess	3.27
know	understand	7.47
lake	swamp	4.92
lamb	sheep	8.42
law	school	1.13
leader	manager	7.27
learn	listen	3.88
leave	remain	2.53
leave	take	2.47
leave	wander	3.57
ledge	mountain	3.73
leg	limb	6.9
lemon	tea	1.6
lend	owe	2.32
letter	paragraph	4
lip	mouth	7.1
liquor	wine	7.85
listen	obey	4.93
listen	understand	4.68
literature	word	4.77
liver	lung	2.7
liver	organ	6.15
log	timber	8.05
log	wood	7.3
long	narrow	3.57
long	short	1.23
lunch	sandwich	6.3
mad	terrific	0.4
mad	unhappy	5.95
magnitude	size	6.33
man	sentry	3.25
man	uncle	3.92
man	victor	1.9
man	warrior	4.72
man	woman	3.33
management	mouse	0.48
manner	way	7.62
maple	oak	6.03
maple	tree	5.53
mayor	president	5.68
meal	supper	7.53
meal	waist	0.98
meat	sandwich	2.35
meat	steak	7.47
mechanic	worker	4.92
medium	news	3.65
melody	music	6.98
melody	rhythm	6.12
menu	order	3.62
metal	tin	5.63
meter	yard	5.6
might	strength	7.07
minister	rabbi	7.62
mink	oil	1.23
minute	second	4.62
mist	rain	5.97
money	pearl	2.1
money	salary	7.88
monk	priest	6.28
moon	planet	5.87
mother	wife	3.02
mouse	rat	7.78
mouth	nose	3.73
mouth	tooth	6.3
muscle	tongue	5
mustard	seed	3.48
nail	thumb	3.55
narrow	wide	1.03
necessary	unnecessary	0.63
neck	spine	5.32
new	old	1.58
new	recent	7.05
newspaper	word	2.47
noise	racket	8.1
noise	rattle	6.17
normal	weird	0.72
north	south	2.2
north	west	3.63
nose	throat	2.8
noticeable	obvious	8.48
notify	portray	0.78
nurse	scientist	2.08
obtain	take	7.1
ocean	sea	8.27
odd	strange	9.02
odd	weird	9.2
page	paragraph	3.03
page	word	2.92
paper	wood	2.88
participate	say	3.82
party	people	2.2
people	population	7.68
perception	vision	6.88
persuade	pursue	3.17
phrase	word	5.48
plead	please	2.98
please	satisfy	7.67
polite	proper	7.63
politician	president	7.38
pollution	president	0.68
portray	pretend	7.03
possess	take	7.2
poverty	wealth	1.27
presence	winner	1.08
president	pupil	0.78
prestige	wealth	6.07
pretend	seem	4.68
professor	student	1.95
protect	save	6.58
proud	strong	3.17
psychology	science	4.92
pupil	student	9.35
quick	rapid	9.7
rabbi	teacher	4.37
rare	scarce	9.17
rationalize	think	8.25
ray	sunshine	6.83
receive	send	1.08
receive	take	5.08
reduce	shrink	8.02
reject	withdraw	6.38
remain	retain	5.75
remind	sell	0.4
replace	restore	5.73
restless	young	1.6
river	sea	5.72
river	stream	7.3
river	valley	1.67
roam	wander	8.83
sad	terrible	5.4
saint	sinner	1.6
salad	vinegar	1.13
salt	water	1.3
save	spend	0.55
say	verify	4.9
season	winter	6.27
secretary	woman	1.98
shame	sorrow	4.77
side	top	1.9
size	trick	0.48
sky	sun	2.27
sky	universe	4.68
sly	strange	1.97
strange	sly	2.07
sly	tough	0.58
snow	storm	4.8
snow	weather	5.48
song	story	3.97
steal	take	6.18
stomach	vein	2.35
stomach	waist	5.9
story	topic	5
strange	weird	8.93
straw	task	0.68
straw	wife	0.4
succeed	try	3.98
succeed	win	7.9
summer	winter	2.38
sunrise	sunset	2.47
task	woman	0.68
terrific	wonderful	8.63
think	try	2.62
throat	tongue	3.1
trial	verdict	3.33
triumph	victory	8.98
vein	vessel	5.15
week	weekend	4
wife	woman	5.72
